Borough,Neighborhood,Latitude,Longitude
Scarborough,Kennedy Park,43.7279292,-79.26202940000002
North York,Bayview Village,43.7869473,-79.385975
North York,CFB Toronto,43.737473200000004,-79.46476329999999
North York,Downsview East,43.737473200000004,-79.46476329999999
East Toronto,The Danforth West,43.6795571,-79.352188
East Toronto,Riverdale,43.6795571,-79.352188
Downtown Toronto,Design Exchange,43.6471768,-79.38157640000001
Downtown Toronto,Toronto Dominion Centre,43.6471768,-79.38157640000001
West Toronto,Brockton,43.6368472,-79.42819140000002
West Toronto,Exhibition Place,43.6368472,-79.42819140000002
West Toronto,Parkdale Village,43.6368472,-79.42819140000002
Scarborough,Clairlea,43.711111700000004,-79.2845772
Scarborough,Golden Mile,43.711111700000004,-79.2845772
Scarborough,Oakridge,43.711111700000004,-79.2845772
North York,Silver Hills,43.7574902,-79.37471409999999
North York,York Mills,43.7574902,-79.37471409999999
North York,Downsview West,43.7390146,-79.5069436
East Toronto,The Beaches West,43.6689985,-79.31557159999998
East Toronto,India Bazaar,43.6689985,-79.31557159999998
Downtown Toronto,Commerce Court,43.6481985,-79.37981690000001
Downtown Toronto,Victoria Hotel,43.6481985,-79.37981690000001
North York,Downsview,43.713756200000006,-79.4900738
North York,North Park,43.713756200000006,-79.4900738
North York,Upwood Park,43.713756200000006,-79.4900738
North York,Humber Summit,43.7563033,-79.56596329999999
Scarborough,Cliffcrest,43.716316,-79.23947609999999
Scarborough,Cliffside,43.716316,-79.23947609999999
Scarborough,Scarborough Village West,43.716316,-79.23947609999999
North York,Newtonbrook,43.789053,-79.40849279999999
North York,Willowdale,43.789053,-79.40849279999999
North York,Downsview Central,43.7284964,-79.49569740000001
East Toronto,Studio District,43.6595255,-79.340923
North York,Bedford Park,43.7332825,-79.4197497
North York,Lawrence Manor East,43.7332825,-79.4197497
York,Del Ray,43.6911158,-79.47601329999999
York,Keelesdale,43.6911158,-79.47601329999999
York,Mount Dennis,43.6911158,-79.47601329999999
York,Silverthorn,43.6911158,-79.47601329999999
North York,Emery,43.7247659,-79.53224240000002
North York,Humberlea,43.7247659,-79.53224240000002
Scarborough,Birch Cliff,43.692657000000004,-79.2648481
Scarborough,Cliffside West,43.692657000000004,-79.2648481
North York,Willowdale South,43.7701199,-79.40849279999999
North York,Downsview Northwest,43.7616313,-79.52099940000001
Central Toronto,Lawrence Park,43.7280205,-79.3887901
Central Toronto,Roselawn,43.7116948,-79.41693559999999
York,The Junction North,43.67318529999999,-79.48726190000001
York,Runnymede,43.67318529999999,-79.48726190000001
York,Weston,43.706876,-79.51818840000001
Scarborough,Dorset Park,43.7574096,-79.27330400000001
Scarborough,Scarborough Town Centre,43.7574096,-79.27330400000001
Scarborough,Wexford Heights,43.7574096,-79.27330400000001
North York,York Mills West,43.752758299999996,-79.4000493
Central Toronto,Davisville North,43.7127511,-79.3901975
Central Toronto,Forest Hill North,43.6969476,-79.41130720000001
Central Toronto,Forest Hill West,43.6969476,-79.41130720000001
West Toronto,High Park,43.6616083,-79.46476329999999
West Toronto,The Junction South,43.6616083,-79.46476329999999
Etobicoke,Westmount,43.696319,-79.53224240000002
Scarborough,Maryvale,43.750071500000004,-79.2958491
Scarborough,Wexford,43.750071500000004,-79.2958491
North York,Willowdale West,43.7827364,-79.4422593
Central Toronto,North Toronto West,43.7153834,-79.40567840000001
Central Toronto,The Annex,43.6727097,-79.40567840000001
Central Toronto,North Midtown,43.6727097,-79.40567840000001
Central Toronto,Yorkville,43.6727097,-79.40567840000001
West Toronto,Parkdale,43.6489597,-79.456325
West Toronto,Roncesvalles,43.6489597,-79.456325
Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
Etobicoke,Kingsview Village,43.6889054,-79.55472440000001
Etobicoke,Martin Grove Gardens,43.6889054,-79.55472440000001
Etobicoke,Richview Gardens,43.6889054,-79.55472440000001
Etobicoke,St. Phillips,43.6889054,-79.55472440000001
Scarborough,Agincourt,43.7942003,-79.26202940000002
Central Toronto,Davisville,43.7043244,-79.3887901
Downtown Toronto,Harbord,43.6626956,-79.4000493
Downtown Toronto,University of Toronto,43.6626956,-79.4000493
West Toronto,Runnymede,43.6515706,-79.4844499
West Toronto,Swansea,43.6515706,-79.4844499
Scarborough,Clarks Corners,43.7816375,-79.3043021
Scarborough,Sullivan,43.7816375,-79.3043021
Scarborough,Tam O'Shanter,43.7816375,-79.3043021
Central Toronto,Moore Park,43.6895743,-79.38315990000001
Central Toronto,Summerhill East,43.6895743,-79.38315990000001
Downtown Toronto,Chinatown,43.6532057,-79.4000493
Downtown Toronto,Grange Park,43.6532057,-79.4000493
Downtown Toronto,Kensington Market,43.6532057,-79.4000493
Scarborough,Agincourt North,43.8152522,-79.2845772
Scarborough,L'Amoreaux East,43.8152522,-79.2845772
Scarborough,Milliken,43.8152522,-79.2845772
Scarborough,Steeles East,43.8152522,-79.2845772
Central Toronto,Deer Park,43.68641229999999,-79.4000493
Central Toronto,Forest Hill SE,43.68641229999999,-79.4000493
Central Toronto,Rathnelly,43.68641229999999,-79.4000493
Central Toronto,South Hill,43.68641229999999,-79.4000493
Central Toronto,Summerhill West,43.68641229999999,-79.4000493
Downtown Toronto,CN Tower,43.6289467,-79.3944199
Downtown Toronto,Bathurst Quay,43.6289467,-79.3944199
Downtown Toronto,Island airport,43.6289467,-79.3944199
Downtown Toronto,Harbourfront West,43.6289467,-79.3944199
Downtown Toronto,King and Spadina,43.6289467,-79.3944199
Downtown Toronto,Railway Lands,43.6289467,-79.3944199
Downtown Toronto,South Niagara,43.6289467,-79.3944199
Etobicoke,Humber Bay Shores,43.6056466,-79.50132070000001
Etobicoke,Mimico South,43.6056466,-79.50132070000001
Etobicoke,New Toronto,43.6056466,-79.50132070000001
Etobicoke,Albion Gardens,43.739416399999996,-79.5884369
Etobicoke,Beaumond Heights,43.739416399999996,-79.5884369
Etobicoke,Humbergate,43.739416399999996,-79.5884369
Etobicoke,Jamestown,43.739416399999996,-79.5884369
Etobicoke,Mount Olive,43.739416399999996,-79.5884369
Etobicoke,Silverstone,43.739416399999996,-79.5884369
Etobicoke,South Steeles,43.739416399999996,-79.5884369
Etobicoke,Thistletown,43.739416399999996,-79.5884369
Scarborough,L'Amoreaux West,43.799525200000005,-79.3183887
Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999999
Etobicoke,Alderwood,43.60241370000001,-79.54348409999999
Etobicoke,Long Branch,43.60241370000001,-79.54348409999999
Etobicoke,Northwest,43.706748299999994,-79.5940544
Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
Downtown Toronto,Cabbagetown,43.667967,-79.3676753
Downtown Toronto,St. James Town,43.667967,-79.3676753
Downtown Toronto,First Canadian Place,43.6484292,-79.3822802
Downtown Toronto,Underground city,43.6484292,-79.3822802
Etobicoke,The Kingsway,43.653653600000005,-79.5069436
Etobicoke,Montgomery Road,43.653653600000005,-79.5069436
Etobicoke,Old Mill North,43.653653600000005,-79.5069436
Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558
Etobicoke,Humber Bay,43.6362579,-79.49850909999999
Etobicoke,King's Mill Park,43.6362579,-79.49850909999999
Etobicoke,Kingsway Park South East,43.6362579,-79.49850909999999
Etobicoke,Mimico NE,43.6362579,-79.49850909999999
Etobicoke,Old Mill South,43.6362579,-79.49850909999999
Etobicoke,The Queensway East,43.6362579,-79.49850909999999
Etobicoke,Royal York South East,43.6362579,-79.49850909999999
Etobicoke,Sunnylea,43.6362579,-79.49850909999999
Etobicoke,Kingsway Park South West,43.6288408,-79.52099940000001
Etobicoke,Mimico NW,43.6288408,-79.52099940000001
Etobicoke,The Queensway West,43.6288408,-79.52099940000001
Etobicoke,Royal York South West,43.6288408,-79.52099940000001
Etobicoke,South of Bloor,43.6288408,-79.52099940000001
